# $E$ (ev)	Int (arb. units)
4.000000e-01	2.072702e+00
3.896607e-01	1.874355e+00
3.793215e-01	1.676009e+00
3.689822e-01	1.613821e+00
3.586430e-01	1.649412e+00
3.483037e-01	1.679204e+00
3.379645e-01	1.679452e+00
3.276252e-01	1.679699e+00
3.172859e-01	1.638944e+00
3.069467e-01	1.584235e+00
2.966074e-01	1.565462e+00
2.862682e-01	1.620273e+00
2.759289e-01	1.675085e+00
2.655897e-01	1.776117e+00
2.552504e-01	1.881712e+00
2.449111e-01	1.921836e+00
2.345719e-01	1.894408e+00
2.242326e-01	1.860294e+00
2.138934e-01	1.742766e+00
2.035541e-01	1.625238e+00
1.932149e-01	1.651218e+00
1.828756e-01	1.752369e+00
1.725363e-01	1.840539e+00
1.621971e-01	1.887215e+00
1.518578e-01	1.933892e+00
1.415186e-01	2.019136e+00
1.311793e-01	2.112828e+00
1.208401e-01	2.126504e+00
1.105008e-01	2.021319e+00
1.001616e-01	1.916135e+00
8.982229e-02	1.860587e+00
7.948304e-02	1.805826e+00
6.914378e-02	2.064181e+00
5.880452e-02	2.562231e+00
4.846527e-02	3.059058e+00
3.812601e-02	3.548873e+00
2.778675e-02	4.038688e+00
1.744750e-02	6.476363e+00
7.108239e-03	9.632768e+00
-3.231018e-03	1.135528e+01
-1.357027e-02	9.923239e+00
-2.390953e-02	8.491196e+00
-3.424879e-02	7.110329e+00
-4.458805e-02	5.735495e+00
-5.492730e-02	4.884271e+00
-6.526656e-02	4.608159e+00
-7.560582e-02	4.335222e+00
-8.594507e-02	4.113283e+00
-9.628433e-02	3.891344e+00
-1.066236e-01	3.763134e+00
-1.169628e-01	3.687504e+00
-1.273021e-01	3.627458e+00
-1.376414e-01	3.621814e+00
-1.479806e-01	3.616171e+00
-1.583199e-01	3.521166e+00
-1.686591e-01	3.404472e+00
-1.789984e-01	3.295178e+00
-1.893376e-01	3.197620e+00
-1.996769e-01	3.100063e+00
-2.100162e-01	3.134570e+00
-2.203554e-01	3.173338e+00
-2.306947e-01	3.227071e+00
-2.410339e-01	3.293010e+00
-2.513732e-01	3.350668e+00
-2.617124e-01	3.354251e+00
-2.720517e-01	3.357835e+00
-2.823910e-01	3.428190e+00
-2.927302e-01	3.525182e+00
-3.030695e-01	3.555144e+00
-3.134087e-01	3.426350e+00
-3.237480e-01	3.297556e+00
-3.340872e-01	3.042385e+00
-3.444265e-01	2.769802e+00
-3.547658e-01	2.719603e+00
-3.651050e-01	2.929479e+00
-3.754443e-01	3.130502e+00
-3.857835e-01	3.134338e+00
-3.961228e-01	3.138174e+00
-4.064620e-01	3.131122e+00
-4.168013e-01	3.117538e+00
-4.271405e-01	3.110294e+00
-4.374798e-01	3.127341e+00
-4.478191e-01	3.144388e+00
-4.581583e-01	3.240107e+00
-4.684976e-01	3.356857e+00
-4.788368e-01	3.331196e+00
-4.891761e-01	3.064186e+00
-4.995153e-01	2.797175e+00
-5.098546e-01	3.082699e+00
-5.201939e-01	3.395397e+00
-5.305331e-01	3.384834e+00
-5.408724e-01	3.093482e+00
-5.512116e-01	2.846841e+00
-5.615509e-01	2.937023e+00
-5.718901e-01	3.027205e+00
-5.822294e-01	2.983446e+00
-5.925687e-01	2.882069e+00
-6.029079e-01	2.817613e+00
-6.132472e-01	2.847509e+00
-6.235864e-01	2.877404e+00
-6.339257e-01	2.907299e+00
-6.442649e-01	2.937194e+00
-6.546042e-01	3.040222e+00
-6.649435e-01	3.234343e+00
-6.752827e-01	3.428465e+00
-6.856220e-01	3.622586e+00
-6.959612e-01	3.816708e+00
-7.063005e-01	3.979178e+00
-7.166397e-01	4.121359e+00
-7.269790e-01	4.263541e+00
-7.373183e-01	4.405722e+00
-7.476575e-01	4.547903e+00
-7.579968e-01	4.647545e+00
-7.683360e-01	4.734725e+00
-7.786753e-01	4.821906e+00
-7.890145e-01	4.909086e+00
-7.993538e-01	4.996267e+00
-8.096931e-01	5.042893e+00
-8.200323e-01	5.086815e+00
-8.303716e-01	5.130738e+00
-8.407108e-01	5.174661e+00
-8.510501e-01	5.209692e+00
-8.613893e-01	5.166075e+00
-8.717286e-01	5.122457e+00
-8.820679e-01	5.078840e+00
-8.924071e-01	5.035223e+00
-9.027464e-01	5.065013e+00
-9.130856e-01	5.297757e+00
-9.234249e-01	5.530500e+00
-9.337641e-01	5.763243e+00
-9.441034e-01	5.995986e+00
-9.544426e-01	6.000809e+00
-9.647819e-01	5.703121e+00
-9.751212e-01	5.405433e+00
-9.854604e-01	5.107744e+00
-9.957997e-01	4.810056e+00
-1.006139e+00	4.736246e+00
-1.016478e+00	4.815616e+00
-1.026817e+00	4.894985e+00
-1.037157e+00	4.974355e+00
-1.047496e+00	5.053725e+00
-1.057835e+00	5.091985e+00
-1.068174e+00	5.117108e+00
-1.078514e+00	5.142231e+00
-1.088853e+00	5.167354e+00
-1.099192e+00	5.192476e+00
-1.109532e+00	5.264049e+00
-1.119871e+00	5.339558e+00
-1.130210e+00	5.415067e+00
-1.140549e+00	5.490576e+00
-1.150889e+00	5.550053e+00
-1.161228e+00	5.439008e+00
-1.171567e+00	5.327963e+00
-1.181906e+00	5.216919e+00
-1.192246e+00	5.105874e+00
-1.202585e+00	5.016236e+00
-1.212924e+00	4.990817e+00
-1.223263e+00	4.965398e+00
-1.233603e+00	4.939978e+00
-1.243942e+00	4.914559e+00
-1.254281e+00	4.861078e+00
-1.264620e+00	4.767888e+00
-1.274960e+00	4.674698e+00
-1.285299e+00	4.581508e+00
-1.295638e+00	4.488318e+00
-1.305977e+00	4.491635e+00
-1.316317e+00	4.565375e+00
-1.326656e+00	4.639115e+00
-1.336995e+00	4.712856e+00
-1.347334e+00	4.786596e+00
-1.357674e+00	4.738171e+00
-1.368013e+00	4.647308e+00
-1.378352e+00	4.556445e+00
-1.388691e+00	4.465583e+00
-1.399031e+00	4.374720e+00
-1.409370e+00	4.367133e+00
-1.419709e+00	4.368161e+00
-1.430048e+00	4.369188e+00
-1.440388e+00	4.370216e+00
-1.450727e+00	4.382218e+00
-1.461066e+00	4.539322e+00
-1.471405e+00	4.696425e+00
-1.481745e+00	4.853529e+00
-1.492084e+00	5.010633e+00
-1.502423e+00	5.110572e+00
-1.512763e+00	5.023772e+00
-1.523102e+00	4.936973e+00
-1.533441e+00	4.850174e+00
-1.543780e+00	4.763374e+00
-1.554120e+00	4.734673e+00
-1.564459e+00	4.793687e+00
-1.574798e+00	4.852701e+00
-1.585137e+00	4.911716e+00
-1.595477e+00	4.970730e+00
-1.605816e+00	4.965384e+00
-1.616155e+00	4.909980e+00
-1.626494e+00	4.854575e+00
-1.636834e+00	4.799171e+00
-1.647173e+00	4.743767e+00
-1.657512e+00	4.662554e+00
-1.667851e+00	4.571627e+00
-1.678191e+00	4.480701e+00
-1.688530e+00	4.389775e+00
-1.698869e+00	4.298848e+00
-1.709208e+00	4.338378e+00
-1.719548e+00	4.393928e+00
-1.729887e+00	4.449479e+00
-1.740226e+00	4.505029e+00
-1.750565e+00	4.556753e+00
-1.760905e+00	4.542328e+00
-1.771244e+00	4.527903e+00
-1.781583e+00	4.513478e+00
-1.791922e+00	4.499053e+00
-1.802262e+00	4.485435e+00
-1.812601e+00	4.474701e+00
-1.822940e+00	4.463968e+00
-1.833279e+00	4.453234e+00
-1.843619e+00	4.442500e+00
-1.853958e+00	4.462050e+00
-1.864297e+00	4.530426e+00
-1.874637e+00	4.598801e+00
-1.884976e+00	4.667177e+00
-1.895315e+00	4.735552e+00
-1.905654e+00	4.719936e+00
-1.915994e+00	4.634727e+00
-1.926333e+00	4.549518e+00
-1.936672e+00	4.464308e+00
-1.947011e+00	4.379099e+00
-1.957351e+00	4.352792e+00
-1.967690e+00	4.350435e+00
-1.978029e+00	4.348078e+00
-1.988368e+00	4.345721e+00
-1.998708e+00	4.343364e+00
-2.009047e+00	4.341007e+00
-2.019386e+00	4.338649e+00
-2.029725e+00	4.336292e+00
-2.040065e+00	4.333935e+00
-2.050404e+00	4.333632e+00
-2.060743e+00	4.383858e+00
-2.071082e+00	4.434084e+00
-2.081422e+00	4.484310e+00
-2.091761e+00	4.534535e+00
-2.102100e+00	4.584761e+00
-2.112439e+00	4.634987e+00
-2.122779e+00	4.685213e+00
-2.133118e+00	4.735439e+00
-2.143457e+00	4.785665e+00
-2.153796e+00	4.814257e+00
-2.164136e+00	4.805566e+00
-2.174475e+00	4.796875e+00
-2.184814e+00	4.788184e+00
-2.195153e+00	4.779493e+00
-2.205493e+00	4.770802e+00
-2.215832e+00	4.762111e+00
-2.226171e+00	4.753420e+00
-2.236511e+00	4.744729e+00
-2.246850e+00	4.736038e+00
-2.257189e+00	4.745488e+00
-2.267528e+00	4.762887e+00
-2.277868e+00	4.780286e+00
-2.288207e+00	4.797685e+00
-2.298546e+00	4.815083e+00
-2.308885e+00	4.832482e+00
-2.319225e+00	4.849881e+00
-2.329564e+00	4.867280e+00
-2.339903e+00	4.884679e+00
-2.350242e+00	4.903867e+00
-2.360582e+00	4.997613e+00
-2.370921e+00	5.091358e+00
-2.381260e+00	5.185104e+00
-2.391599e+00	5.278849e+00
-2.401939e+00	5.372594e+00
-2.412278e+00	5.466340e+00
-2.422617e+00	5.560085e+00
-2.432956e+00	5.653831e+00
-2.443296e+00	5.747576e+00
-2.453635e+00	5.799117e+00
-2.463974e+00	5.772813e+00
-2.474313e+00	5.746510e+00
-2.484653e+00	5.720206e+00
-2.494992e+00	5.693903e+00
-2.505331e+00	5.667599e+00
-2.515670e+00	5.641295e+00
-2.526010e+00	5.614992e+00
-2.536349e+00	5.588688e+00
-2.546688e+00	5.562384e+00
-2.557027e+00	5.546976e+00
-2.567367e+00	5.536703e+00
-2.577706e+00	5.526430e+00
-2.588045e+00	5.516156e+00
-2.598384e+00	5.505883e+00
-2.608724e+00	5.495609e+00
-2.619063e+00	5.485336e+00
-2.629402e+00	5.475063e+00
-2.639742e+00	5.464789e+00
-2.650081e+00	5.455761e+00
-2.660420e+00	5.604842e+00
-2.670759e+00	5.753923e+00
-2.681099e+00	5.903004e+00
-2.691438e+00	6.052085e+00
-2.701777e+00	6.201166e+00
-2.712116e+00	6.350247e+00
-2.722456e+00	6.499328e+00
-2.732795e+00	6.648409e+00
-2.743134e+00	6.797490e+00
-2.753473e+00	6.879040e+00
-2.763813e+00	6.827099e+00
-2.774152e+00	6.775158e+00
-2.784491e+00	6.723217e+00
-2.794830e+00	6.671276e+00
-2.805170e+00	6.619336e+00
-2.815509e+00	6.567395e+00
-2.825848e+00	6.515454e+00
-2.836187e+00	6.463513e+00
-2.846527e+00	6.411572e+00
-2.856866e+00	6.424166e+00
-2.867205e+00	6.469407e+00
-2.877544e+00	6.514649e+00
-2.887884e+00	6.559890e+00
-2.898223e+00	6.605131e+00
-2.908562e+00	6.650373e+00
-2.918901e+00	6.695614e+00
-2.929241e+00	6.740855e+00
-2.939580e+00	6.786097e+00
-2.949919e+00	6.831338e+00
-2.960258e+00	6.841846e+00
-2.970598e+00	6.852080e+00
-2.980937e+00	6.862314e+00
-2.991276e+00	6.872547e+00
-3.001616e+00	6.882781e+00
-3.011955e+00	6.893015e+00
-3.022294e+00	6.903249e+00
-3.032633e+00	6.913483e+00
-3.042973e+00	6.923717e+00
-3.053312e+00	6.929241e+00
-3.063651e+00	6.924770e+00
-3.073990e+00	6.920300e+00
-3.084330e+00	6.915830e+00
-3.094669e+00	6.911359e+00
-3.105008e+00	6.906889e+00
-3.115347e+00	6.902418e+00
-3.125687e+00	6.897948e+00
-3.136026e+00	6.893477e+00
-3.146365e+00	6.889007e+00
-3.156704e+00	6.907358e+00
-3.167044e+00	6.938082e+00
-3.177383e+00	6.968806e+00
-3.187722e+00	6.999529e+00
-3.198061e+00	7.030253e+00
-3.208401e+00	7.060977e+00
-3.218740e+00	7.091701e+00
-3.229079e+00	7.122425e+00
-3.239418e+00	7.153149e+00
-3.249758e+00	7.183872e+00
-3.260097e+00	7.161469e+00
-3.270436e+00	7.137791e+00
