# $E$ (ev)	Int (arb. units)
4.000000e-01	1.650568e+00
3.896607e-01	1.557600e+00
3.793215e-01	1.565732e+00
3.689822e-01	1.573865e+00
3.586430e-01	1.573619e+00
3.483037e-01	1.568124e+00
3.379645e-01	1.599155e+00
3.276252e-01	1.779185e+00
3.172859e-01	1.959215e+00
3.069467e-01	1.969668e+00
2.966074e-01	1.931985e+00
2.862682e-01	1.943293e+00
2.759289e-01	2.041342e+00
2.655897e-01	2.139391e+00
2.552504e-01	1.823738e+00
2.449111e-01	1.483064e+00
2.345719e-01	1.359844e+00
2.242326e-01	1.433368e+00
2.138934e-01	1.516251e+00
2.035541e-01	1.677220e+00
1.932149e-01	1.838190e+00
1.828756e-01	1.788435e+00
1.725363e-01	1.643591e+00
1.621971e-01	1.575128e+00
1.518578e-01	1.712038e+00
1.415186e-01	1.848948e+00
1.311793e-01	1.800348e+00
1.208401e-01	1.719810e+00
1.105008e-01	1.576198e+00
1.001616e-01	1.350714e+00
8.982229e-02	1.132702e+00
7.948304e-02	1.341904e+00
6.914378e-02	1.551107e+00
5.880452e-02	1.866490e+00
4.846527e-02	2.252892e+00
3.812601e-02	2.896210e+00
2.778675e-02	4.700077e+00
1.744750e-02	6.503944e+00
7.108239e-03	7.626418e+00
-3.231018e-03	8.537570e+00
-1.357027e-02	8.527687e+00
-2.390953e-02	6.771591e+00
-3.424879e-02	5.015494e+00
-4.458805e-02	4.506853e+00
-5.492730e-02	4.095947e+00
-6.526656e-02	3.652262e+00
-7.560582e-02	3.177004e+00
-8.594507e-02	2.742235e+00
-9.628433e-02	2.709921e+00
-1.066236e-01	2.677607e+00
-1.169628e-01	2.612874e+00
-1.273021e-01	2.532418e+00
-1.376414e-01	2.464223e+00
-1.479806e-01	2.431756e+00
-1.583199e-01	2.399289e+00
-1.686591e-01	2.454530e+00
-1.789984e-01	2.526790e+00
-1.893376e-01	2.565227e+00
-1.996769e-01	2.556867e+00
-2.100162e-01	2.548532e+00
-2.203554e-01	2.556384e+00
-2.306947e-01	2.564236e+00
-2.410339e-01	2.703568e+00
-2.513732e-01	2.936713e+00
-2.617124e-01	3.083233e+00
-2.720517e-01	2.793350e+00
-2.823910e-01	2.503468e+00
-2.927302e-01	2.586298e+00
-3.030695e-01	2.794924e+00
-3.134087e-01	2.905450e+00
-3.237480e-01	2.816521e+00
-3.340872e-01	2.727593e+00
-3.444265e-01	2.697392e+00
-3.547658e-01	2.672878e+00
-3.651050e-01	2.628779e+00
-3.754443e-01	2.564602e+00
-3.857835e-01	2.508328e+00
-3.961228e-01	2.548440e+00
-4.064620e-01	2.588552e+00
-4.168013e-01	2.676259e+00
-4.271405e-01	2.788724e+00
-4.374798e-01	2.808492e+00
-4.478191e-01	2.534466e+00
-4.581583e-01	2.260440e+00
-4.684976e-01	2.483002e+00
-4.788368e-01	2.813190e+00
-4.891761e-01	3.055486e+00
-4.995153e-01	3.168071e+00
-5.098546e-01	3.280656e+00
-5.201939e-01	3.670765e+00
-5.305331e-01	4.064832e+00
-5.408724e-01	4.114700e+00
-5.512116e-01	3.902748e+00
-5.615509e-01	3.676607e+00
-5.718901e-01	3.370058e+00
-5.822294e-01	3.063510e+00
-5.925687e-01	3.049322e+00
-6.029079e-01	3.142158e+00
-6.132472e-01	3.257896e+00
-6.235864e-01	3.423655e+00
-6.339257e-01	3.589414e+00
-6.442649e-01	3.521313e+00
-6.546042e-01	3.426094e+00
-6.649435e-01	3.463918e+00
-6.752827e-01	3.646960e+00
-6.856220e-01	3.826553e+00
-6.959612e-01	3.952262e+00
-7.063005e-01	4.077972e+00
-7.166397e-01	4.203681e+00
-7.269790e-01	4.329391e+00
-7.373183e-01	4.414697e+00
-7.476575e-01	4.360210e+00
-7.579968e-01	4.305722e+00
-7.683360e-01	4.251235e+00
-7.786753e-01	4.196748e+00
-7.890145e-01	4.222751e+00
-7.993538e-01	4.375562e+00
-8.096931e-01	4.528374e+00
-8.200323e-01	4.681185e+00
-8.303716e-01	4.833997e+00
-8.407108e-01	4.826874e+00
-8.510501e-01	4.690129e+00
-8.613893e-01	4.553384e+00
-8.717286e-01	4.416639e+00
-8.820679e-01	4.279895e+00
-8.924071e-01	4.376707e+00
-9.027464e-01	4.565975e+00
-9.130856e-01	4.755243e+00
-9.234249e-01	4.944511e+00
-9.337641e-01	5.133779e+00
-9.441034e-01	4.986429e+00
-9.544426e-01	4.793381e+00
-9.647819e-01	4.600332e+00
-9.751212e-01	4.407284e+00
-9.854604e-01	4.228930e+00
-9.957997e-01	4.365854e+00
-1.006139e+00	4.502778e+00
-1.016478e+00	4.639702e+00
-1.026817e+00	4.776626e+00
-1.037157e+00	4.880020e+00
-1.047496e+00	4.856203e+00
-1.057835e+00	4.832386e+00
-1.068174e+00	4.808569e+00
-1.078514e+00	4.784753e+00
-1.088853e+00	4.822758e+00
-1.099192e+00	4.964837e+00
-1.109532e+00	5.106916e+00
-1.119871e+00	5.248996e+00
-1.130210e+00	5.391075e+00
-1.140549e+00	5.301506e+00
-1.150889e+00	5.011984e+00
-1.161228e+00	4.722462e+00
-1.171567e+00	4.432940e+00
-1.181906e+00	4.143419e+00
-1.192246e+00	4.113535e+00
-1.202585e+00	4.194511e+00
-1.212924e+00	4.275487e+00
-1.223263e+00	4.356463e+00
-1.233603e+00	4.437440e+00
-1.243942e+00	4.395995e+00
-1.254281e+00	4.335419e+00
-1.264620e+00	4.274843e+00
-1.274960e+00	4.214266e+00
-1.285299e+00	4.155790e+00
-1.295638e+00	4.167875e+00
-1.305977e+00	4.179960e+00
-1.316317e+00	4.192044e+00
-1.326656e+00	4.204129e+00
-1.336995e+00	4.206400e+00
-1.347334e+00	4.167632e+00
-1.357674e+00	4.128863e+00
-1.368013e+00	4.090094e+00
-1.378352e+00	4.051325e+00
-1.388691e+00	4.054426e+00
-1.399031e+00	4.132928e+00
-1.409370e+00	4.211430e+00
-1.419709e+00	4.289932e+00
-1.430048e+00	4.368434e+00
-1.440388e+00	4.376370e+00
-1.450727e+00	4.319453e+00
-1.461066e+00	4.262535e+00
-1.471405e+00	4.205618e+00
-1.481745e+00	4.148700e+00
-1.492084e+00	4.194437e+00
-1.502423e+00	4.287346e+00
-1.512763e+00	4.380254e+00
-1.523102e+00	4.473163e+00
-1.533441e+00	4.566071e+00
-1.543780e+00	4.538734e+00
