# $E$ (ev)	Int (arb. units)
4.000000e-01	1.499349e+00
3.896607e-01	1.356165e+00
3.793215e-01	1.212981e+00
3.689822e-01	1.215981e+00
3.586430e-01	1.323957e+00
3.483037e-01	1.395717e+00
3.379645e-01	1.282951e+00
3.276252e-01	1.170185e+00
3.172859e-01	1.160726e+00
3.069467e-01	1.186423e+00
2.966074e-01	1.198126e+00
2.862682e-01	1.181173e+00
2.759289e-01	1.164221e+00
2.655897e-01	1.170803e+00
2.552504e-01	1.179709e+00
2.449111e-01	1.150476e+00
2.345719e-01	1.081893e+00
2.242326e-01	1.016987e+00
2.138934e-01	9.979604e-01
2.035541e-01	9.789335e-01
1.932149e-01	9.511400e-01
1.828756e-01	9.187544e-01
1.725363e-01	9.268667e-01
1.621971e-01	1.064439e+00
1.518578e-01	1.202012e+00
1.415186e-01	1.269059e+00
1.311793e-01	1.320658e+00
1.208401e-01	1.313423e+00
1.105008e-01	1.218796e+00
1.001616e-01	1.124168e+00
8.982229e-02	1.317343e+00
7.948304e-02	1.515087e+00
6.914378e-02	1.695241e+00
5.880452e-02	1.861932e+00
4.846527e-02	2.168004e+00
3.812601e-02	3.273685e+00
2.778675e-02	4.379367e+00
1.744750e-02	6.084746e+00
7.108239e-03	8.011403e+00
-3.231018e-03	8.634903e+00
-1.357027e-02	6.391457e+00
-2.390953e-02	4.148011e+00
-3.424879e-02	3.403242e+00
-4.458805e-02	2.835172e+00
-5.492730e-02	2.553898e+00
-6.526656e-02	2.587630e+00
-7.560582e-02	2.589145e+00
-8.594507e-02	2.073044e+00
-9.628433e-02	1.556944e+00
-1.066236e-01	1.371541e+00
-1.169628e-01	1.371651e+00
-1.273021e-01	1.379358e+00
-1.376414e-01	1.413591e+00
-1.479806e-01	1.447824e+00
-1.583199e-01	1.495938e+00
-1.686591e-01	1.547422e+00
-1.789984e-01	1.635476e+00
-1.893376e-01	1.781527e+00
-1.996769e-01	1.927577e+00
-2.100162e-01	1.665842e+00
-2.203554e-01	1.390952e+00
-2.306947e-01	1.489939e+00
-2.410339e-01	1.893861e+00
-2.513732e-01	2.208765e+00
-2.617124e-01	1.942434e+00
-2.720517e-01	1.676103e+00
-2.823910e-01	1.729430e+00
-2.927302e-01	1.910272e+00
-3.030695e-01	1.994031e+00
-3.134087e-01	1.847859e+00
-3.237480e-01	1.701686e+00
-3.340872e-01	1.706220e+00
-3.444265e-01	1.731517e+00
-3.547658e-01	1.784610e+00
-3.651050e-01	1.870209e+00
-3.754443e-01	1.944377e+00
-3.857835e-01	1.763958e+00
-3.961228e-01	1.583539e+00
-4.064620e-01	1.746584e+00
-4.168013e-01	2.115709e+00
-4.271405e-01	2.339081e+00
-4.374798e-01	2.004191e+00
-4.478191e-01	1.669302e+00
-4.581583e-01	1.510525e+00
-4.684976e-01	1.398829e+00
-4.788368e-01	1.436963e+00
-4.891761e-01	1.729020e+00
-4.995153e-01	2.021078e+00
-5.098546e-01	1.920278e+00
-5.201939e-01	1.800158e+00
-5.305331e-01	1.767746e+00
-5.408724e-01	1.811519e+00
-5.512116e-01	1.848229e+00
-5.615509e-01	1.831735e+00
-5.718901e-01	1.815241e+00
-5.822294e-01	1.732171e+00
-5.925687e-01	1.620463e+00
-6.029079e-01	1.540132e+00
-6.132472e-01	1.539989e+00
-6.235864e-01	1.539847e+00
-6.339257e-01	1.651325e+00
-6.442649e-01	1.780481e+00
-6.546042e-01	1.979058e+00
-6.649435e-01	2.264107e+00
-6.752827e-01	2.541156e+00
-6.856220e-01	2.533637e+00
-6.959612e-01	2.526118e+00
-7.063005e-01	2.443630e+00
-7.166397e-01	2.313084e+00
-7.269790e-01	2.203849e+00
-7.373183e-01	2.184636e+00
-7.476575e-01	2.165423e+00
-7.579968e-01	2.062330e+00
-7.683360e-01	1.934665e+00
-7.786753e-01	1.993750e+00
-7.890145e-01	2.391449e+00
-7.993538e-01	2.789148e+00
-8.096931e-01	2.393629e+00
-8.200323e-01	1.945230e+00
-8.303716e-01	1.945034e+00
-8.407108e-01	2.359341e+00
-8.510501e-01	2.714468e+00
-8.613893e-01	2.546082e+00
-8.717286e-01	2.377696e+00
-8.820679e-01	2.209310e+00
-8.924071e-01	2.040923e+00
-9.027464e-01	1.962516e+00
-9.130856e-01	2.132873e+00
-9.234249e-01	2.303230e+00
-9.337641e-01	2.473587e+00
-9.441034e-01	2.643945e+00
-9.544426e-01	2.726239e+00
-9.647819e-01	2.691651e+00
-9.751212e-01	2.657063e+00
-9.854604e-01	2.622474e+00
-9.957997e-01	2.587886e+00
-1.006139e+00	2.474476e+00
-1.016478e+00	2.307136e+00
-1.026817e+00	2.139797e+00
-1.037157e+00	1.972457e+00
-1.047496e+00	1.805117e+00
-1.057835e+00	1.797141e+00
-1.068174e+00	1.840096e+00
-1.078514e+00	1.883052e+00
-1.088853e+00	1.926007e+00
-1.099192e+00	1.968963e+00
-1.109532e+00	2.098943e+00
-1.119871e+00	2.236298e+00
-1.130210e+00	2.373653e+00
-1.140549e+00	2.511009e+00
-1.150889e+00	2.636563e+00
-1.161228e+00	2.636593e+00
-1.171567e+00	2.636624e+00
-1.181906e+00	2.636655e+00
-1.192246e+00	2.636686e+00
-1.202585e+00	2.632503e+00
-1.212924e+00	2.615676e+00
-1.223263e+00	2.598849e+00
-1.233603e+00	2.582022e+00
-1.243942e+00	2.565195e+00
-1.254281e+00	2.511065e+00
-1.264620e+00	2.404149e+00
-1.274960e+00	2.297233e+00
-1.285299e+00	2.190317e+00
-1.295638e+00	2.083401e+00
-1.305977e+00	2.068485e+00
-1.316317e+00	2.120703e+00
-1.326656e+00	2.172921e+00
-1.336995e+00	2.225140e+00
-1.347334e+00	2.277358e+00
-1.357674e+00	2.271819e+00
-1.368013e+00	2.246218e+00
-1.378352e+00	2.220616e+00
-1.388691e+00	2.195015e+00
-1.399031e+00	2.169413e+00
-1.409370e+00	2.147506e+00
-1.419709e+00	2.125981e+00
-1.430048e+00	2.104456e+00
-1.440388e+00	2.082931e+00
-1.450727e+00	2.067161e+00
-1.461066e+00	2.127493e+00
-1.471405e+00	2.187825e+00
-1.481745e+00	2.248157e+00
-1.492084e+00	2.308488e+00
-1.502423e+00	2.384989e+00
-1.512763e+00	2.514308e+00
-1.523102e+00	2.643628e+00
-1.533441e+00	2.772947e+00
-1.543780e+00	2.902266e+00
-1.554120e+00	2.940608e+00
-1.564459e+00	2.841592e+00
-1.574798e+00	2.742576e+00
-1.585137e+00	2.643560e+00
-1.595477e+00	2.544544e+00
-1.605816e+00	2.467048e+00
-1.616155e+00	2.406290e+00
-1.626494e+00	2.345531e+00
-1.636834e+00	2.284773e+00
-1.647173e+00	2.224014e+00
-1.657512e+00	2.185048e+00
-1.667851e+00	2.154283e+00
-1.678191e+00	2.123517e+00
-1.688530e+00	2.092752e+00
-1.698869e+00	2.061987e+00
-1.709208e+00	2.050596e+00
-1.719548e+00	2.041585e+00
-1.729887e+00	2.032573e+00
-1.740226e+00	2.023561e+00
-1.750565e+00	2.019260e+00
-1.760905e+00	2.096377e+00
-1.771244e+00	2.173494e+00
-1.781583e+00	2.250611e+00
-1.791922e+00	2.327727e+00
-1.802262e+00	2.402961e+00
-1.812601e+00	2.471469e+00
-1.822940e+00	2.539976e+00
-1.833279e+00	2.608484e+00
-1.843619e+00	2.676991e+00
-1.853958e+00	2.729481e+00
-1.864297e+00	2.756145e+00
-1.874637e+00	2.782809e+00
-1.884976e+00	2.809473e+00
-1.895315e+00	2.836137e+00
-1.905654e+00	2.812081e+00
-1.915994e+00	2.746001e+00
-1.926333e+00	2.679921e+00
-1.936672e+00	2.613840e+00
-1.947011e+00	2.547760e+00
-1.957351e+00	2.453863e+00
-1.967690e+00	2.348657e+00
-1.978029e+00	2.243451e+00
-1.988368e+00	2.138245e+00
-1.998708e+00	2.033039e+00
-2.009047e+00	2.000082e+00
-2.019386e+00	1.977446e+00
-2.029725e+00	1.954810e+00
-2.040065e+00	1.932175e+00
-2.050404e+00	1.916346e+00
-2.060743e+00	2.067964e+00
-2.071082e+00	2.219583e+00
-2.081422e+00	2.371202e+00
-2.091761e+00	2.522820e+00
-2.102100e+00	2.618337e+00
-2.112439e+00	2.493760e+00
-2.122779e+00	2.369183e+00
-2.133118e+00	2.244606e+00
-2.143457e+00	2.120029e+00
-2.153796e+00	2.140606e+00
-2.164136e+00	2.411342e+00
-2.174475e+00	2.682078e+00
-2.184814e+00	2.952814e+00
-2.195153e+00	3.223551e+00
-2.205493e+00	3.404633e+00
-2.215832e+00	3.506610e+00
-2.226171e+00	3.608586e+00
