# $E$ (ev)	Int (arb. units)
-1.554120e+00	2.771657e+00
-1.564459e+00	2.829742e+00
-1.574798e+00	2.887827e+00
-1.585137e+00	2.945913e+00
-1.595477e+00	2.999954e+00
-1.605816e+00	2.970322e+00
-1.616155e+00	2.940690e+00
-1.626494e+00	2.911058e+00
-1.636834e+00	2.881426e+00
-1.647173e+00	2.845195e+00
-1.657512e+00	2.784162e+00
-1.667851e+00	2.723129e+00
-1.678191e+00	2.662096e+00
-1.688530e+00	2.601063e+00
-1.698869e+00	2.555667e+00
-1.709208e+00	2.536421e+00
-1.719548e+00	2.517175e+00
-1.729887e+00	2.497928e+00
-1.740226e+00	2.478682e+00
-1.750565e+00	2.464228e+00
-1.760905e+00	2.453884e+00
-1.771244e+00	2.443540e+00
-1.781583e+00	2.433196e+00
-1.791922e+00	2.422852e+00
-1.802262e+00	2.409094e+00
-1.812601e+00	2.393888e+00
-1.822940e+00	2.378683e+00
-1.833279e+00	2.363478e+00
-1.843619e+00	2.348272e+00
-1.853958e+00	2.333067e+00
-1.864297e+00	2.317862e+00
-1.874637e+00	2.302656e+00
-1.884976e+00	2.287451e+00
-1.895315e+00	2.272973e+00
-1.905654e+00	2.281633e+00
-1.915994e+00	2.290293e+00
-1.926333e+00	2.298952e+00
-1.936672e+00	2.307612e+00
-1.947011e+00	2.316272e+00
-1.957351e+00	2.324932e+00
-1.967690e+00	2.333592e+00
-1.978029e+00	2.342252e+00
-1.988368e+00	2.350912e+00
-1.998708e+00	2.351805e+00
-2.009047e+00	2.338808e+00
-2.019386e+00	2.325811e+00
-2.029725e+00	2.312813e+00
-2.040065e+00	2.299816e+00
-2.050404e+00	2.286819e+00
-2.060743e+00	2.273821e+00
-2.071082e+00	2.260824e+00
-2.081422e+00	2.247827e+00
-2.091761e+00	2.234830e+00
-2.102100e+00	2.220573e+00
-2.112439e+00	2.205742e+00
-2.122779e+00	2.190911e+00
-2.133118e+00	2.176080e+00
-2.143457e+00	2.161249e+00
-2.153796e+00	2.146418e+00
-2.164136e+00	2.131586e+00
-2.174475e+00	2.116755e+00
-2.184814e+00	2.101924e+00
-2.195153e+00	2.088039e+00
-2.205493e+00	2.136920e+00
-2.215832e+00	2.185801e+00
-2.226171e+00	2.234682e+00
-2.236511e+00	2.283563e+00
-2.246850e+00	2.332444e+00
-2.257189e+00	2.381325e+00
-2.267528e+00	2.430206e+00
-2.277868e+00	2.479087e+00
-2.288207e+00	2.527968e+00
-2.298546e+00	2.568776e+00
-2.308885e+00	2.594120e+00
-2.319225e+00	2.619464e+00
-2.329564e+00	2.644808e+00
-2.339903e+00	2.670152e+00
-2.350242e+00	2.695496e+00
-2.360582e+00	2.720840e+00
-2.370921e+00	2.746185e+00
-2.381260e+00	2.771529e+00
-2.391599e+00	2.796873e+00
-2.401939e+00	2.835434e+00
-2.412278e+00	2.880474e+00
-2.422617e+00	2.925514e+00
-2.432956e+00	2.970554e+00
-2.443296e+00	3.015594e+00
-2.453635e+00	3.060634e+00
-2.463974e+00	3.105674e+00
-2.474313e+00	3.150714e+00
-2.484653e+00	3.195754e+00
-2.494992e+00	3.240794e+00
-2.505331e+00	3.207934e+00
-2.515670e+00	3.175012e+00
-2.526010e+00	3.142091e+00
-2.536349e+00	3.109169e+00
-2.546688e+00	3.076248e+00
-2.557027e+00	3.043326e+00
-2.567367e+00	3.010405e+00
-2.577706e+00	2.977483e+00
-2.588045e+00	2.944562e+00
-2.598384e+00	2.930768e+00
-2.608724e+00	2.956281e+00
-2.619063e+00	2.981793e+00
-2.629402e+00	3.007306e+00
-2.639742e+00	3.032819e+00
-2.650081e+00	3.058331e+00
-2.660420e+00	3.083844e+00
-2.670759e+00	3.109356e+00
-2.681099e+00	3.134869e+00
-2.691438e+00	3.160381e+00
-2.701777e+00	3.142381e+00
-2.712116e+00	3.101509e+00
-2.722456e+00	3.060637e+00
-2.732795e+00	3.019766e+00
-2.743134e+00	2.978894e+00
-2.753473e+00	2.938022e+00
-2.763813e+00	2.897150e+00
-2.774152e+00	2.856279e+00
-2.784491e+00	2.815407e+00
-2.794830e+00	2.774535e+00
-2.805170e+00	2.795733e+00
-2.815509e+00	2.817965e+00
-2.825848e+00	2.840198e+00
-2.836187e+00	2.862430e+00
-2.846527e+00	2.884663e+00
-2.856866e+00	2.906896e+00
-2.867205e+00	2.929128e+00
-2.877544e+00	2.951361e+00
-2.887884e+00	2.973593e+00
-2.898223e+00	2.997686e+00
-2.908562e+00	3.025887e+00
-2.918901e+00	3.054088e+00
-2.929241e+00	3.082289e+00
-2.939580e+00	3.110490e+00
-2.949919e+00	3.138691e+00
-2.960258e+00	3.166892e+00
-2.970598e+00	3.195093e+00
-2.980937e+00	3.223294e+00
-2.991276e+00	3.251495e+00
-3.001616e+00	3.250820e+00
-3.011955e+00	3.233893e+00
-3.022294e+00	3.216965e+00
-3.032633e+00	3.200037e+00
-3.042973e+00	3.183110e+00
-3.053312e+00	3.166182e+00
-3.063651e+00	3.149254e+00
-3.073990e+00	3.132327e+00
-3.084330e+00	3.115399e+00
-3.094669e+00	3.098472e+00
-3.105008e+00	3.116883e+00
-3.115347e+00	3.136465e+00
-3.125687e+00	3.156046e+00
-3.136026e+00	3.175627e+00
-3.146365e+00	3.195209e+00
